,sim,sim_std,obs
2002-01-02,3.0320180387378324,2.747023726677437,1.430338176
2002-01-03,2.798348087573573,2.618106843479092,1.195557408
2002-01-04,3.270569680118221,2.918589341155079,1.787244696
2002-01-05,3.0404328933766256,2.734588421582991,0.004232736
2002-01-06,3.5192868574573897,3.061380081114854,2.137029696
2002-01-07,3.8388988293423774,3.1266875529189186,1.307898792
2002-01-08,4.140919235855082,3.378369915785924,2.179736784
2002-01-09,4.072177418560212,3.3007187232947475,1.936340856
2002-01-10,3.869195625180417,3.023018373902672,2.0697444
2002-01-11,3.051599881393104,2.6615627059366056,2.296355616
2002-01-12,3.391973946919512,2.8800813228044566,1.835272728
2002-01-13,4.166398929123925,3.3712809658685825,2.235682944
2002-01-14,4.2359744033633175,3.4033094118819065,2.8170840960000003
2002-01-15,4.46145385640441,3.328854822633114,2.9125392480000003
2002-01-16,3.4171314893628786,2.916831565871746,2.7432861839999996
2002-01-17,3.6236266639682784,3.0500873133730297,2.7309461039999996
2002-01-18,3.7944061807536884,2.9931488092807337,2.246137992
2002-01-19,3.422313284920089,2.7261138009904617,2.30415624
2002-01-20,3.4257223747599204,2.862865119632214,2.267928504
2002-01-21,3.58688252609127,2.963064369193387,2.7115395839999996
2002-01-22,3.9853256556882553,3.112292453269662,3.410315352
2002-01-23,3.727900581464968,2.928262850442553,2.527746696
2002-01-24,3.6104746979447127,2.838958511082083,2.9725295760000003
2002-01-25,2.8805561980533825,2.5263327784654006,-0.006121008000000001
2002-01-26,2.7083787741580165,2.404492214001806,-0.7763279759999999
2002-01-27,3.681965686108166,2.8047096171737764,-4.6299114
2002-01-28,3.4922687560333383,2.7096273679168186,-4.981808664
2002-01-29,3.6393147054232915,2.8128672420249177,-4.69190556
2002-01-30,3.378554205673448,2.634508835411029,-5.708822112000001
2002-01-31,3.1818628624972387,2.681437299754499,-6.9386660639999995
2002-02-01,3.052840904758173,2.5931341340881167,-6.70713696
2002-02-02,3.720216500151078,2.6410102913360496,-2.03955516
2002-02-03,3.063765372830071,2.753734500193069,-6.34860612
2002-02-04,2.5691590553072197,2.429376300598791,-2.602760256
2002-02-05,2.8988698678672336,2.3830643419841557,-3.287364048
2002-02-06,2.749189082382425,2.47390313544428,-5.262923592
2002-02-07,2.330929409145368,2.2821560819464275,-2.069971416
2002-02-08,2.4595941217198143,2.3439256042844083,-2.6173329119999997
2002-02-09,2.9225187605758194,2.549107607506405,-1.4164897680000001
2002-02-10,2.820504536768832,2.444605877623677,-2.608950816
2002-02-11,2.6723987962987645,2.3532387044614076,-0.654086232
2002-02-12,2.8006743322801144,2.587336115312821,-2.0710432080000003
2002-02-13,2.4597162410945606,2.374433366516384,-1.0365250320000001
2002-02-14,1.5868543652582208,2.093306003573637,1.115644536
2002-02-15,1.3144830221857784,1.929235375466451,-0.539676216
2002-02-16,1.6663985851355618,2.1995339727481777,-0.0076537440000000005
2002-02-17,1.7495115780475665,2.265384210563195,-0.446210208
2002-02-18,1.8506586558120235,2.1776035701227943,0.308129832
2002-02-19,1.6475623229446517,2.05292539191933,0.24047539199999998
2002-02-20,1.8869470620872024,2.153625695741652,1.51670988
2002-02-21,1.668659053626942,2.1541294540494547,1.2765001679999999
2002-02-22,1.5985782289908308,2.0971819019838276,1.6346022480000002
2002-02-23,1.5996219012035355,2.0928944075416336,-0.24505070399999998
2002-02-24,1.101017634323582,1.8653031448440187,0.23584867199999998
2002-02-25,0.8961010808656947,1.7437774272827307,0.7755521040000001
2002-02-26,1.9186091105399747,1.9685090809526744,2.185891056
2002-02-27,1.6599533576512475,2.012059533360341,0.6585222239999999
2002-02-28,1.235895556975763,1.9860188172557438,-0.15960132
2002-03-01,1.0374611779431153,1.8800362318913137,-0.016514712
2002-03-02,0.6659720564006287,1.876890806519502,-0.6442416
2002-03-03,0.7745808713718417,1.9371842847999412,-0.65375856
2002-03-04,1.9794381682793505,2.173913168577491,0.613377576
2002-03-05,1.4819278065519117,2.1622098831382863,-0.520880328
2002-03-06,1.1660255647645454,2.0455718864174,-0.6555401279999999
2002-03-07,1.8155004890215505,2.227134571961363,-1.188183384
2002-03-08,0.9156682586698073,2.1613092993719683,-1.318408704
2002-03-09,0.9571070295854711,2.1792982985243143,-1.410948936
2002-03-10,0.7235202970710611,1.8977458806490275,-1.7573010480000002
2002-03-11,0.8170767018112933,1.93737873321288,-1.54062756
2002-03-12,0.2858907265937129,2.0289228396733745,-1.9436118480000002
2002-03-13,0.09322805270417847,1.917066111588832,-1.9653407999999999
2002-03-14,-0.03967829945533272,1.818497285239356,-1.7128126080000001
2002-03-15,-0.10447082670749228,1.8500554447245725,-1.9051845840000001
2002-03-16,0.1563960870550791,1.8782330993689158,-2.179567872
2002-03-17,0.8155672333142979,2.056742225105049,-1.91608848
2002-03-18,0.4209746404282069,2.041635776141992,-1.5690186000000002
2002-03-19,0.42509128272163405,2.1800007819352367,-2.314465272
2002-03-20,0.005373571344098262,1.9269104934860766,-2.21188104
2002-03-21,0.48280262250519745,1.9344240766385146,-1.884755304
2002-03-22,0.6001727061517349,2.0349228393459664,-1.6690767119999999
2002-03-23,0.5678113989099546,2.0977370115311955,-1.8444438719999998
2002-03-24,-0.10705439540922496,2.027047955229664,-1.924027776
2002-03-25,0.0011495689667274192,2.1748981426860534,-1.627397784
2002-03-26,0.2816109376667865,2.109719303053742,-1.86440184
2002-03-27,-0.6261356926674945,1.906901145701944,-1.51169112
2002-03-28,-0.617057428705053,2.1068673480060727,-0.908000712
2002-03-29,-0.6730038957720371,2.151751103514887,-1.323316872
