,sim,sim_std,obs
2002-01-02,2.854727072443116,1.456942530685806,
2002-01-03,3.359723562024799,1.0963814768820526,
2002-01-04,3.3912072616593263,1.0571032953435,
2002-01-05,3.390945809406681,1.0576219910791955,
2002-01-06,3.3905467895590213,1.0583451659848877,
2002-01-07,3.3898465095718797,1.059444437662192,
2002-01-08,3.3876991608057327,1.0613219418156923,
2002-01-09,3.3853519943985595,1.0635840904074656,
2002-01-10,3.3824830587283667,1.0663152258596347,
2002-01-11,3.3780758247762965,1.0699130189321142,
2002-01-12,3.3742438640531858,1.0734131291488367,
2002-01-13,3.3690548985837685,1.077222103018197,
2002-01-14,3.3616497799919944,1.0814673843479508,
2002-01-15,3.352007342757353,1.0858786179318192,
2002-01-16,3.338285537250552,1.0904855601836454,
2002-01-17,3.3444792624103896,1.0858601927023925,
2002-01-18,3.347961688208561,1.084739447914813,
2002-01-19,3.3503239710067563,1.0839667391468977,
2002-01-20,3.352694155502814,1.0831921514066796,
2002-01-21,3.3561057257352878,1.0820942866144985,
2002-01-22,3.3592921220502383,1.0807064819223267,
2002-01-23,3.3616701548503034,1.0795832805202923,
2002-01-24,3.3643440857723457,1.0787095722420135,
2002-01-25,3.367033730762544,1.0778315874913984,
2002-01-26,3.3710207689605585,1.0765391971066158,
2002-01-27,3.3749707457696347,1.0752415491596088,
2002-01-28,3.3772725401075125,1.0744833793870034,
2002-01-29,3.3798689735516754,1.0736267379790825,
2002-01-30,3.3834858001292734,1.0716925174930703,
2002-01-31,3.386577204218367,1.0701715606823814,
2002-02-01,3.390636781446819,1.0688605394371964,
2002-02-02,3.3889413711732934,1.07122518699154,
2002-02-03,3.38282867761897,1.0746825373905458,
2002-02-04,3.3793960069941735,1.0763622955136372,
2002-02-05,3.374265343141977,1.0780367647122295,
2002-02-06,3.3657567482060307,1.079674019722096,
2002-02-07,3.3572139343927736,1.0806813187284638,
2002-02-08,3.3478240263151466,1.0813308385170126,
2002-02-09,3.3386631022471116,1.0815073963491537,
2002-02-10,3.3277500151229242,1.081849692099064,
2002-02-11,3.3157570254612505,1.0817255386756193,
2002-02-12,3.302866480824578,1.0815282417838026,
2002-02-13,3.2906558175418477,1.0807253481685144,
2002-02-14,3.2777917722129923,1.0800361015663302,
2002-02-15,3.266681660421202,1.0785439045454308,
2002-02-16,3.274599293122169,1.076212592332063,
2002-02-17,3.2831245698702967,1.073698553773801,
2002-02-18,3.2917738688260583,1.0711607062477075,
2002-02-19,3.299215169128541,1.068944160043441,
2002-02-20,3.3069336981556754,1.0663749317518967,
2002-02-21,3.31399850581624,1.064233716435387,
2002-02-22,3.3224123674886656,1.0612538340563429,
2002-02-23,3.330397638005862,1.0587922593289862,
2002-02-24,3.3383278032278683,1.0563411341453135,
2002-02-25,3.3466352094759477,1.0538617970984925,
2002-02-26,3.35484139638336,1.0513786007854709,
2002-02-27,3.3601070719952784,1.0497048070095447,
